web-scraper-order,web-scraper-start-url,links,links-href,text
"1642169219-122","https://sum.dk/nyheder?categorizations=9819&page=9","Genoptagelse af undervisning ved fysisk fremmøde for elever i 0.-4. klasse","https://sum.dk/nyheder/2021/februar/genoptagelse-af-undervisning-ved-fysisk-fremmoede-for-elever-i-0-4-klasse","Mens nedlukningen er blevet forlænget frem til og med den 28. februar 2021, er sundhedsmyndighederne blevet bedt om vurdere, om de mindste klasser ville kunne komme tidligere tilbage i skole. Den Faglige Referencegruppe tilknyttet varslingssystemet har peget på, at netop en åbning af grundskolens børnehaveklasse og 1.-4. klasse har højeste prioritet i forbindelse med genåbningen. Det skyldes bl.a., at skolernes mindste klasser vurderes at have lavest effekt på smittespredning, mens det omvendt har stor betydning for børnenes trivsel, generelle sundhedstilstand og læring, at de kommer tilbage i skole. 
 
På baggrund af prognoser for smittetal og indlæggelser anbefaler Indsatsgruppen, herunder sundhedsmyndighederne, at børnehaveklasse og 1.-4. klasse kan vende tilbage til fuldt fysisk fremmøde fra mandag den 8. februar 2021.
Regeringen har valgt at følge Indsatsgruppens anbefaling.
På den baggrund iværksættes følgende genåbning af skolernes mindste klasser:

Elever grundskolens børnehaveklasse og 1.-4. klasse (inkl. SFO, fritidshjem og klubtilbud m.v.) kan komme tilbage i skole fra den 8. februar 2021.

Genåbningen af skolernes mindste klasser vil ske inden for en række smitteforebyggende foranstaltninger, herunder reduktion af kontakt mellem klasser, fokus på hygiejne, afstand på fællesarealer og i frikvarterer. De nærmere retningslinjer fastlægges i samarbejde med sundhedsmyndighederne og offentliggøres af Børne- og Undervisningsministeriet.
Se den fulde oversigt over alle tiltag og restriktioner på www.coronasmitte.dk.
Indsatsgruppen lægger vægt på, at det er vigtigt at åbne langsomt med god tid mellem de forskellige genåbningsfaser, sådan at det er muligt at vurdere effekten af den seneste genåbning.
Pjece: Genoptagelse af undervisning ved fysisk fremmøde for elever i 0.-4. klasse
Nyhed fra Statens Serum: Institutrognoser for smittetal og indlæggelser ved scenarier for genåbning af 0.-4. klasse i grundskolen
Se pressemøde på coronasmitte"
"1642169345-171","https://sum.dk/nyheder?categorizations=9819&page=5","Johnson&Johnson vaccinerne vil fremover blive tilbudt mod betaling","https://sum.dk/nyheder/2021/august/johnsonandjohnson-vaccinerne-vil-fremover-blive-tilbudt-mod-betaling","Sundhedsloven giver i dag i vid udstrækning personer i Danmark adgang til vaccination mod COVID-19. Men en mindre gruppe af personer med en vis tilknytning til Danmark har ikke adgang til vaccination mod Covid-19 i Danmark og for nogles vedkommende heller ikke andre steder. Det drejer sig blandt andet om søfarende og udlandsdanskere m.fl. De relevante interesseorganisationer for disse grupper har tilkendegivet, at der er ønske om et tilbud om vaccination mod Covid-19 med vaccinen fra Johnson&Johnson, da den kun skal gives ved ét stik for at opnå fuld vaccination.

Regeringen har derfor besluttet, at Danmarks resterende lager af COVID-19 vacciner fra Johnson&Johnson nu kan frigives til brug i privat regi i Danmark. Der bliver derfor etableret en ordning, som ligner den, der allerede eksisterer for rejsevacciner og andre vacciner uden for de offentlige vaccinationsprogrammer.

I ordningen lægges der op til, at alle personer i Danmark uanset nationalitet, herunder også personer på gennemrejse eller meget kort ophold i Danmark, efter lægelig ordination skal kunne købe en behandling i Danmark med COVID-19-vaccine mod egenbetaling. Selve vaccinationen vil skulle ske under ansvar af en læge, men vil kunne uddelegeres til en medhjælp i henhold til gældende regler for delegation.

De gældende indrejserestriktioner vil også gælde for personer, som rejser til Danmark med henblik på vaccination.

Egenbetalingsordningen vurderes at kunne etableres i september 2021."
"1642169446-209","https://sum.dk/nyheder?categorizations=9819&page=1","Regeringen forelægger Epidemiudvalget ændringer til coronapasset","https://sum.dk/nyheder/2022/januar/regeringen-forelaegger-epidemiudvalget-aendringer-til-coronapasset","På baggrund af indstilling fra Epidemikommissionen har regeringen forelagt Epidemiudvalget et forslag om at ændre på varigheden af coronapas. Hvis et flertal i Epidemiudvalget tiltræder forslaget, ændres reglerne om coronapas fra søndag den 16. januar 2022, såfremt det også vedtages at forlænge krav om coronapas visse steder i samfundet.
Regeringen har forelagt Epidemiudvalget følgende ændringer: 

Coronapasset skal være gyldigt 5 måneder efter 2. stik for personer over 18 år
Coronapasset bliver gyldigt igen umiddelbart efter revaccination.
Der er på nuværende tidspunkt ikke fastlagt nogen udløbsdato for coronapas efter 3. stik.
Der er endnu ikke et tilbud om revaccination til de 15-17-årige, som også er omfattet af reglerne for coronapas. 15 – 17 årige, der har fået to stik, vil derfor fortsat have coronapas efter fem måneder.
Coronapasset bliver gyldigt efter tidligere smitte 11 dage – 5 måneder efter en positiv PCR-test.

De foreslåede regler vil kun gælde ved brug af coronapas i Danmark. 
Vær opmærksom på, om dit coronapas udløber
Ovenstående ændringer er på nuværende tidspunkt hverken vedtaget eller trådt i kraft. Såfremt ændringerne bliver vedtaget, vil de træde i kraft allerede den 16. januar.
Hvis du er inviteret til revaccination, men endnu ikke har benyttet dig af tilbuddet, skal du derfor være opmærksom på, at dit coronapas kan udløbe efter den 16. januar, hvis der er gået mere end 5 måneder fra dit 2. stik."
"1642169107-79","https://sum.dk/nyheder?categorizations=9819&page=14","Regeringen har opdateret den nationale teststrategi","https://sum.dk/nyheder/2020/oktober/regeringen-har-opdateret-den-nationale-teststrategi","Der lanceres i dag en opdateret national teststrategi, der bygger videre på erfaringerne med test indtil nu. Supervåbenet i bekæmpelsen af COVID-19 er fortsat afstand og hygiejne. Men når smitten viser sig, skal de smittede identificeres og isoleres, så smittekæderne brydes. Et vigtigt middel hertil er udbygningen af testkapaciteten i efteråret, så der kan testes 70-80.000 personer dagligt – og i særlige spidsbelastningsperioder 100.000 personer dagligt.
Sundheds- og Ældreministeriet fremlægger i dag en opdateret teststrategi, der bygger ovenpå og dermed erstatter teststrategien fra d. 12. maj 2020. Sundheds- og ældreminister Magnus Heunicke siger: 



Den danske strategi er at holde coronavirus nede, så samfundet kan være så åbent som muligt. Det gør vi ikke mindst med afstand og hygiejne, samt ved test, smitteopsporing og isolation. Når smitten blusser op, som den unægtelig vil gøre, og som vi ser nu, så sætter vi ind lokalt med en opsøgende testindsats, intensiv smitteopsporing og isolation

Pejlemærker for teststrategien
Den opdaterede teststrategi bygger på erfaringerne med test under den første del af COVID-19-epidemien. Teststrategien indeholder en markant udvidelse af testkapaciteten og en strategisk tilpasning af den rolle, som test skal spille i den fremadrettede bekæmpelse af epidemien. Derudover bygger teststrategien på følgende overordnede principper:

Testindsatsen skal være opsøgende og indsættes, hvor det vurderes, at den kan bidrage til størst mulig smittereduktion.
Testindsatsen skal være mobil og fleksibel, således at test kan gennemføres i hele landet og målrettes konkrete steder og situationer.
Test skal være lettilgængeligt, og borgerne skal have hurtigt svar på deres test således, at der kan iværksættes kontaktopsporing og isolation.

Udbygning af kapaciteten
Danmark er et af de lande i verden, der allerede nu tester flest i forhold til indbyggertal. I løbet af efteråret vil kapaciteten løbende blive yderligere udbygget, så der kan testes 70-80.000 personer for coronavirus om dagen.

Samtidig arbejdes der på, at der i spidsbelastningsperioder kan testes op til 100.000 personer om dagen. Det realiseres bl.a. gennem ekstra laboratoriefaciliteter i Vestdanmark, hvor endnu flere prøver kan blive analyseret. En stor og fleksibel testkapacitet skal understøtte arbejdet med at holde epidemien nede ved at smittede hurtigt identificeres, så opsporing og isolation kan påbegyndes.

Regeringen har også opstillet en målsætning om, at 80 procent skal have adgang til COVID-19 test inden for 24 timer. Sundheds- og ældreminister Magnus Heunicke siger: 

I lyset af de stigende smittettal overstiger efterspørgslen på test vores aktuelle analysekapacitet. Det giver ventetid på test for danskerne. Derfor er det en væsentlig del af strategien, at kapaciteten henover efteråret skal øges markant. Vi fordeler testkapaciteten til de steder, hvor der ses mest smitte. Men vi prioriterer at teste personer med symptomer, der har behov for en sundhedsfaglig vurdering, og nære kontakter først. Det er helt afgørende, at test er let tilgængeligt for de grupper af borgere, som har brug for test, og at man hurtigt kan få svar på sin test. 

I den opdaterede teststrategi reserveres dele af testkapaciteten til nedenstående centrale grupper, således kapaciteten anvendes mest effektivt til at reducere smittespredningen:

Personer med symptomer, der har behov for en sundhedsfaglig vurdering
Nære kontakter til personer med påvist COVID-19
Patienter fx ved indlæggelse i mere end 24 timer
I forbindelse med lokal smittespredning, herunder beboere og personale ved udbrud i sundheds-, social- og ældresektoren
Regelmæssig test af personale på plejehjem, i hjemmeplejen og regionalt personale med patient- og beboerkontakt
Tilbud om test ved indrejse

Overskydende testkapacitet vil fortsat blive stillet til rådighed for alle borgere.
Styrkelse af testsystemet
I forbindelse med den yderligere udbygning af testkapaciteten skal testsystemet også gøres mere robust frem mod vintersæsonen.

Der arbejdes derfor på at sikre de fysiske rammer for teststationerne, at sikre tilstrækkelige medarbejderressourcer, at ressourcerne fordeles optimalt mellem faste og mobile teststationer, og at man i forhold til testudstyr er mindre afhængig af de samme få leverandører.

Derudover er det en væsentlig del af strategien, at testindsatsen så vidt muligt kan sættes ind lokalt, så samfundet kan være så åbent som muligt, imens smitten holdes nede. Det er således også nødvendigt med et mobilt og fleksibelt testsystem, hvor ressourcerne kan anvendes, hvor der er størst behov for dem. Derfor udbygges antallet af mobile enheder, således at testkapaciteten hurtigt kan flyttes rundt i landet i forhold til, hvor der er behov for at sætte ind med ekstra test.

Endelig skal der sikres et mere enkelt system for borgerne. Der pågår et arbejde med at tænke det såkaldte sundhedsspor og samfundsspor sammen, så borgerne oplever et mere sammenhængende og enstrenget system.
Opdateret COVID-19 teststrategi"
"1642168973-28","https://sum.dk/nyheder?categorizations=9819&page=19","En dansker er testet positiv for COVID-19","https://sum.dk/nyheder/2020/februar/en-dansker-er-testet-positiv-for-covid-19","Natten til torsdag blev en dansker testet positiv for COVID-19. Det er den første konstaterede smitte med ny coronavirus i Danmark, siden virusset udbrød i Hubei-provinsen i Kina i december 2019.
Sundheds- og ældreminister Magnus Heunicke siger:

Vi tager den nye situation meget alvorligt. Arbejdet med at inddæmme og opspore er nu gået i gang. Vi vil gøre alt, hvad vi kan, for at undgå at sygdommen breder sig i Danmark.

Styrelsen for Patientsikkerhed er i tæt dialog med patienten om de personer, borgeren har været i kontakt med. Arbejdet med kontaktsporing og inddæmning er dermed gået i gang.
Den smittede borger blev onsdag testet for, om vedkommendes symptomer var tegn på COVID-19. Prøven blev sendt til Statens Serum Institut, der står for udførelsen af testen for COVID-19.
Statens Serum Institut har løbende foretaget test af danske borgere, der har udvist symptomer, der kunne være tegn på COVID-19. Alle prøverne er indtil onsdag testet negativ for smitte med COVID-19.
Ligesom andre former for virusbetinget lungebetændelse, er der ikke specifik medicin i mod selve sygdommen, men i det danske sundhedsvæsen er der gode muligheder for at give understøttende behandling. Den nuværende viden om COVID-19 viser, at størstedelen af patienterne kun har lette symptomer, og ikke har behov for sygehusbehandling. De alvorlige symptomer forekommer mest hos personer, der er ældre, eller har underliggende sygdomme i forvejen.
 Der afholdes pressemøde i Sundheds- og Ældreministeriet, Holbergsgade 6, kl. 8.00. Til stede vil foruden sundheds- og ældreminister Magnus Heunicke være direktør for Sundhedsstyrelsen Søren Brostrøm, faglig direktør fra Statens Seruminstitut Kåre Mølbak og direktør for Styrelsen for Patientsikkerhed Anne-Marie Vangsted. 
Der er kun adgang for medier. 
For yderligere information:
Kontakt presse-og kommunikationshef Christian Lehmann, telefon 26 80 40 26"
"1642169203-116","https://sum.dk/nyheder?categorizations=9819&page=10","Den Faglige Referencegruppe afleverer vurdering af genåbning","https://sum.dk/nyheder/2021/januar/1301-referencegruppe-rapport","Regeringen har anmodet Den Faglige Referencegruppe om at bidrage med vurderinger til i hvilken rækkefølge, det er klogest at udfase tiltag, når smittesituationen muliggør dette og i deres vurdering afveje tiltagenes effekt på smittereduktion samt konsekvenser for samfundsøkonomi og den almindelige sundhedstilstand ud over COVID-19.
 
 Referencegruppen har samtidig i muligt omfang skulle inddrage viden om øvrige konsekvenser af tiltag for befolkningen, herunder f.eks. hvor indgribende tiltagene virker på den enkeltes dagligdag eller trivsel. 
 
 Den Faglige Referencegruppe har udarbejdet kvalitative vurderinger af den forventede betydning for smittespredning, samfundsøkonomi, borgernes trivsel og folkesundhed samt den individuelle frihed og på baggrund heraf vurderet, i hvilken rækkefølge en række restriktioner kan lempes til et lavere niveau.

Referencegruppen bemærker i deres rapport, at det i den aktuelle epidemiologiske situation er afgørende at sikre et lavere smittetryk i Danmark, fordi fremkomsten af nye og mere smitsomme virusvarianter må forventes at øge smittespredningen i samfundet.

Regeringen har i dag orienteret partilederne og COVID-19-følgegruppen herom og oversendt rapporten til Folketinget. I den kommende uge inviteres Folketingets partier til en teknisk gennemgang af rapporten med følgegruppen.

Den Faglige Referencegruppes rapport med vurdering af genåbning af samfundet til regeringen"
"1642169012-42","https://sum.dk/nyheder?categorizations=9819&page=17","Nyt Advisory Board skal rådgive myndighederne om den kommende danske smittestops-app","https://sum.dk/nyheder/2020/maj/nyt-advisory-board-skal-raadgive-myndighederne-om-den-kommende-danske-smittestops-app","Som en del af regeringens strategi for at sikre en kontrolleret og ansvarlig genåbning af det danske samfund tager de danske sundhedsmyndigheder nye digitale løsninger i anvendelse, der giver mulighed for at se, hvordan smitten med coronavirus/COVID-19 udvikler sig i Danmark.
En af de løsninger er en ny app til smartphones, der skal hjælpe borgerne til smittesporing for at kunne sikre en kontrolleret genåbning af Danmark. Der er en række forskellige mulige tekniske modeller for den løsning, der skal bruges i den danske app.
Apple og Google har netop stillet første version af deres såkaldte API til rådighed for sundhedsmyndigheder i hele verden. Den mulighed kan derfor nu indgå i overvejelser omkring udviklingen af den danske app. For at understøtte udviklingen af den bedst mulige danske løsning, inddrager Sundheds- og Ældreministeriet og Digitaliseringsstyrelsen en række eksperter og forskere i arbejdet.
”Formålet med den kommende smitteopsporingsapp er at give borgerne et konkret værktøj til smittesporing dermed hjælpe os med at stoppe smittekæder af coronavirus. Dermed bliver den sammen med teststrategien et vigtigt element i den videre genåbning af samfundet. Det er en afgørende forudsætning, at appen kan understøtte smitteopsporing på sikker vis, og at den ikke går på kompromis med beskyttelsen af danskernes privatliv. Derfor er det rettidig omhu at modtage rådgivning og vejledning fra uvildige eksperter om datasikkerhed og beskyttelse af privatliv, så brug af den digitale teknologi baserer sig på privacy, databeskyttelse og brugervenlighed” siger sundhed- og ældreminister Magnus Heunicke.
Det arbejde skal blandt andet ske i et nyt Advisory Board, der skal følge arbejdet med den kommende danske coronavirus/COVID-19 app. Advisory Boardet skal bidrage med viden, rådgivning, vurderinger og erfaringer angående sikkerhed, privacy/privatlivsbeskyttelse og teknologiske valg.
Advisory Board’et består af fem repræsentanter:

Camilla Gregersen, formand for Dansk Magisterforening, medlem af Dataetisk Råd
Christiane Vejlø, CEO Elektronista Media, medlem af Dataetisk Råd
Sune Lehmann, professor på Institut for Matematik og Computerscience, DTU
Mikkel Thorup, professor på Institut for Datalogi, KU
Jacob Herbst, Chief Technical Officer i Dubex, medlem af Cybersikkerhedsrådet

Dataetisk Råd inddrages løbende i arbejdet med den kommende danske app til brug for genåbningen af Danmark efter coronavirus/COVID-19-smitteudbruddet. Den kommende app er også på dagsordenen som en del af arbejdet i det nationale Cybersikkerhedsråd.
Kontaktinfo:
Sundheds- og Ældreministeriets pressetelefon: 21 32 47 27"
"1642169132-89","https://sum.dk/nyheder?categorizations=9819&page=13","De fleste restriktioner lempes i Nordjylland","https://sum.dk/nyheder/2020/november/de-fleste-restriktioner-lempes-i-nordjylland","Sundhedsmyndighederne har på baggrund af nyeste data for smittespredning og sekventering af positive prøver fundet basis for en lempelse af langt de fleste restriktionerne i Frederikshavn, Vesthimmerland, Jammerbugt, Thisted, Brønderslev, Hjørring og Læsø kommuner.
Hovedparten af lempelserne vil være gældende fra den 19. november 2020. Der er følgende undtagelser:

åbning af kollektiv trafik, som træder i kraft den 20. november
åbning af kultur- og fritidsliv, som træder i kraft den 20. november
muligheder for forsamlinger, som træder i kraft den 20. november
åbning af restauranter, barer mv., som træder i kraft den 20. november
For videregående uddannelser, dagtilbud, grundskoler, kost- og efterskoler samt for ungdoms- og voksenuddannelser ophæves de særlige tiltag i de syv kommuner fra mandag den 23. november.

Læs om lempelserne her
Borgere i de syv kommuner har vist stor vilje til at hjælpe myndighederne med at nedbringe aktiviteten i kommunerne og i arbejdet med at opspore og inddæmme smitten. En stor andel af borgerne i de berørte kommuner har ladet sig teste, og det har betydet, at sundhedsmyndighederne har kunne undersøge smittesspredning i de syv kommuner.
Sekventeringen af de positive prøver viser samtidig, at der ikke er påvist yderligere tilfælde af minkvariant med cluster 5 siden den 15. september, hvorfor Statens Serums Institut vurderer, at denne variant med stor sandsynlighed er døet ud.
Sekventeringsrapporten kan læses her 
Statens Serum Institut forventer at sekventere og analysere alle positive prøver fra de syv kommuner i Nordjylland i næste uge (uge 48).
Selvom arbejdet med at sekventere alle positive prøver i Nordjylland fortsat pågår, er vurderingen fra Indsatsgruppen, at stikprøven giver tilstrækkelig dokumentation og sikkerhed for, at restriktionerne kan lempes.
Indsatsgruppen og sundhedsmyndighederne har i deres vurdering bl.a. lagt vægt på, at:

Der i de syv nordjyske kommuner fra 9.-15. november er fundet 79 smittede pr. 100.000, hvor tallet i ugen forinden var 94.
Der i de nordjyske kommuner er testet 73.228 fra 9.-15. november, hvor tallet ugen forinden var 38.219, svarende til næsten en fordobling.
Resultater af sekventeringen i Region Nordjylland viser i uge 44 og 45, at henholdsvis 20% og 28% af alle sekventerede prøver var positive for minkvarianten, i forhold til 52% og 43% af prøverne i henholdsvis uge 42 og 43.
I ugerne 41-43 udgjorde minkvarianten i Region Nordjylland ca. halvdelen af de sekventerede prøver, med en faldende tendens i uge 44 og 45. I samme periode ses et fald i antal smittede farme i Region Nordjylland.
Der er ikke påvist yderligere tilfælde af minkvariant med cluster 5 siden den 15. september, hvorfor Statens Serums Institut vurderer, at denne variant med stor sandsynlighed er døet ud.
Alle mink i de syv kommuner er nu aflivet."
"1642169214-121","https://sum.dk/nyheder?categorizations=9819&page=10","Tredje vaccine mod COVID-19 er nu på vej til Danmark","https://sum.dk/nyheder/2021/januar/2901-tredje-vaccine-mod-covid-19-er-nu-paa-vej-til-danmark","Den betingede godkendelse betyder, at vacciner fra AstraZeneca nu er på vej til Danmark. De første sendinger forventes at blive modtaget på Statens Serum Institut den 8. februar 2021. I første omgang forventer vi vacciner til cirka 20.000 borgere, men antallet er endnu ikke endeligt bekræftet fra producenten. Meldingen fra EU-kommissionen betyder, at der nu er tre vacciner mod COVID-19 på markedet i Europa fra henholdsvis Pfizer/BioNTech, Moderna og AstraZeneca.
Sundhedsminister Magnus Heunicke siger:

Endnu en vaccine mod COVID-19 er på vej ud til borgerne. Vi har en aftale med AstraZeneca om vacciner til 2,6 mio. personer i Dannmark, og vi vil modtage dem løbende over de næste måneder. Vacciner er ét af vores vigtigste våben i kampen mod tiden og coronasmitten, der desværre stadig er alt for udbredt i vores samfund. Regeringen og sundhedsmyndighederne gør i disse dage alt for at sikre, at vi modtager så mange vacciner som muligt, og at de straks efter ankomsten til Danmark kommer ud og gør gavn hos vores ældre og sårbare medborgere og blandt sundhedspersonalet.

Den betingede godkendelse betyder, at EMA’s lægemiddeleksperter har vurderet, at dokumentationen for vaccinens kvalitet, sikkerhed og effekt er tilstrækkelig til, at vaccinens evne til at modvirke COVID-19 opvejer mulige risici i form af bivirkninger. AstraZeneca skal efter den betingede godkendelse løbende forsyne EMA med yderligere data. En betinget godkendelse gives for et år og kan forlænges årligt.
Effekt
 Vaccinen er godkendt på baggrund af et samlet resultat fra fire kliniske forsøg med ca. 24.000 forsøgspersoner tre forskellige steder i verden. De 24.000 forsøgsdeltagere blev i forsøgene inddelt i to lige store grupper, der fik henholdsvis vaccinen eller en anden injektion. Herefter blev det registreret, hvor mange i de to grupper, der blev smittet med COVID-19. Forsøget viste en reduktion på 59,6 % i antallet af COVID-19 tilfælde i gruppen, der fik den rigtige vaccine, sammenlignet med kontrolgruppen.
De fleste forsøgsdeltagere var mellem 18 og 55 år. Der er ikke tilstrækkelige data til at estimere en effekt uden for i denne aldersgruppe. Dog forventes vaccinen at kunne beskytte personer over 55 år. Da der er dokumentation for vaccinens sikkerhed i denne aldersgruppe, er vaccinen også godkendt til personer over 55 år. Der vil løbende blive indsamlet mere dokumentation fra igangværende kliniske forsøg, der også inkluderer ældre aldersgrupper.
Yderligere oplysninger: 
Læs mere på Lægemiddelstyrelsens hjemmeside 
Læs mere på EU-Kommissionens hjemmeside"
"1642169289-150","https://sum.dk/nyheder?categorizations=9819&page=7","Tilvalgsordning for Covid-19-vacciner uden for program","https://sum.dk/nyheder/2021/maj/tilvalgsordning-for-covid-19-vacciner-uden-for-program","Muligheden for at tilvælge Covid-19-vacciner uden for vaccineprogrammet vil være et supplement til Sundhedsstyrelsens vaccinationsprogram mod Covid-19. Ordningen etableres for at imødekomme de borgere, som aktivt ønsker en hurtigere immunisering, adgang til coronapas m.v.
Sundhedsminister Magnus Heunicke:

”Vi har i dag kunne konstatere bred politisk opbakning til at etablere en model for, at borgere, som aktivt ønsker det, kan blive tilbudt de EMA-godkendte vacciner, som Sundhedsstyrelsen har valgt ikke skal indgå i Covid-19-vaccinationsprogrammet. Det vedrører vaccinerne fra AstraZeneca og Johnson & Johnson. Ordningen vil være en mulighed for et individuelt tilvalg til den enkelte borger, som ønsker sig en hurtigere vaccination, end man vil få i vaccinationsprogrammet.”

Vaccination med Covid-19-vacciner uden for massevaccinationsprogrammet vil ligesom de øvrige være gratis for borgerne, men til forskel for det generelle vaccinationsprogram skal der foretages en individuel lægelig konsultation og ordination forud for vaccinationen.
Der arbejdes nu videre med en model, hvor vaccinationer uden for programmet fremover kan tilbydes af de  private vaccinationsklinikker, der lever op til nogle fastsatte krav. Det vil være en ordning, som ligner den model for influenza- og pneumokokvaccination i privat regi, som allerede findes og fungerer i dag. Selve injektionen med vaccinen vil kunne delegeres til andre faggrupper end læger efter de almindelige regler om delegation i autorisationsloven. Der vil i det videre arbejde lægges vægt på, at ordningen bliver tilgængelig i hele landet.
Sundhedsministeriet udarbejder nu et udkast til en bekendtgørelse, som efter en kort høringsperiode vil kunne sætte ordningen i kraft hurtigst muligt i løbet af maj 2021. Parallelt hermed vil Sundhedsstyrelsen i samarbejde med øvrige relevante styrelser udarbejde de nødvendige retningslinjer samt informationsmateriale til borgerne."
